"var","Network-1-model-random","Network-2-model-random","Network-3-model-random","Network-4-model-random","Network-5-model-random","Network-6-model-random","Network-7-model-random"
"sig2",0.938511111111111,0.939733333333333,0.908088888888889,0.923,0.884622222222222,0.838511111111111,0.855155555555556
"d_2,1",0.778355555555556,0.912088888888889,0.2666,0.998688888888889,0.985466666666667,0.852244444444444,0.982555555555556
"d_2,3",0.9264,0.938577777777778,0.956177777777778,0.9544,0.992288888888889,0.908688888888889,0.918422222222222
"d_2,4",0.998666666666667,0.953177777777778,0.999066666666667,0.722911111111111,0.701377777777778,0.722688888888889,0.704266666666667
"d_2,5",0.991688888888889,0.9992,0.818,0.881022222222222,0.842044444444444,0.856222222222222,0.838155555555556
"d_2,6",0.8746,0.9156,0.925311111111111,0.924555555555556,0.883666666666667,0.916888888888889,0.862333333333333
"d_2,7",0.956911111111111,0.953333333333333,0.815911111111111,0.977311111111111,0.832311111111111,0.843444444444444,0.822711111111111
"d_2,8",0.870311111111111,0.909911111111111,NA,NA,NA,NA,0.932088888888889
"alpha_1",0.947155555555556,0.945533333333333,0.949711111111111,0.947444444444444,1,0.9478,0.949133333333333
"alpha_2",1,0.950133333333333,0.951666666666667,0.948866666666667,0.947444444444444,0.947044444444444,0.948688888888889
"alpha_3",NA,NA,0.803933333333333,0.814933333333333,0.813688888888889,0.804733333333333,0.806444444444444
"alpha_4",NA,NA,0.7086,0.727622222222222,0.727955555555556,0.705266666666667,0.7056
"alpha_5",NA,NA,0.5974,0.620466666666667,0.6162,0.599088888888889,0.601777777777778
"alpha_6",NA,NA,0.9518,0.95,0.947666666666667,0.947377777777778,0.949022222222222
"alpha_7",NA,NA,0.794088888888889,0.800911111111111,0.795,0.776688888888889,0.786933333333333
"alpha_8",NA,NA,0.844755555555556,0.853511111111111,0.847755555555556,0.838066666666667,0.837288888888889
"alpha_9",NA,NA,0.791977777777778,0.810511111111111,0.810822222222222,0.798288888888889,0.797733333333333
"alpha_10",0.799,0.736933333333333,0.675755555555556,0.691622222222222,NA,0.663977777777778,0.661555555555556
"alpha_11",0.934355555555556,0.935577777777778,0.921155555555556,0.922555555555556,0.917444444444444,NA,0.9124
"alpha_12",0.874844444444444,NA,0.673422222222222,NA,0.697044444444444,0.692133333333333,0.680777777777778
"alpha_13",NA,0.642733333333333,NA,0.565866666666667,0.5584,0.541155555555556,0.541266666666667
"alpha_14",NA,0.737311111111111,NA,0.654488888888889,0.647955555555556,0.633022222222222,0.631933333333333
"alpha_15",NA,0.624888888888889,NA,0.546533333333333,0.531911111111111,0.518022222222222,0.525288888888889
"alpha_16",NA,0.885866666666667,NA,0.8444,0.843755555555556,0.842666666666667,0.840733333333333
"alpha_17",0.809688888888889,0.837888888888889,NA,NA,NA,NA,0.879355555555556
"alpha_18",0.790266666666667,0.832155555555556,NA,NA,NA,0.762466666666667,NA
"alpha_19",0.810244444444444,0.814044444444444,NA,NA,NA,0.760466666666667,NA
"alpha_20",0.6192,NA,NA,0.504555555555556,NA,NA,NA
"alpha_21",0.873244444444444,NA,NA,0.913911111111111,NA,NA,NA
"alpha_22",NA,0.833466666666667,0.800311111111111,NA,NA,NA,NA
"alpha_23",NA,0.821288888888889,0.789733333333333,NA,NA,NA,NA
"alpha_24",NA,0.832088888888889,0.738888888888889,NA,0.7452,0.726644444444444,0.728688888888889
"alpha_25",NA,0.798755555555556,0.684711111111111,NA,0.705288888888889,0.699111111111111,0.686711111111111
"alpha_26",NA,0.735688888888889,0.630266666666667,NA,0.654311111111111,0.644111111111111,0.638222222222222
"alpha_27",0.939888888888889,NA,NA,0.803422222222222,0.791666666666667,0.781755555555556,0.782844444444444
"alpha_28",0.912044444444444,NA,NA,0.754977777777778,0.751444444444444,0.736955555555556,0.736488888888889
"d_2,1 - d_2,3",0.875911111111111,0.927022222222222,0.412444444444444,0.996111111111111,0.910755555555556,0.903377777777778,0.978111111111111
"d_2,1 - d_2,4",0.978222222222222,0.927266666666667,0.175111111111111,0.988733333333333,0.925888888888889,0.656866666666667,0.926155555555556
"d_2,1 - d_2,5",0.993755555555556,0.970288888888889,0.682333333333333,0.997177777777778,0.971822222222222,0.801044444444444,0.972066666666667
"d_2,1 - d_2,6",0.917822222222222,0.936911111111111,0.149711111111111,0.998711111111111,0.998888888888889,0.899177777777778,0.998044444444444
"d_2,1 - d_2,7",0.947777777777778,0.935088888888889,0.916555555555556,0.988088888888889,0.934733333333333,0.679111111111111,0.923422222222222
"d_2,1 - d_2,8",0.9224,0.9304,NA,NA,NA,NA,0.906933333333333
"d_2,3 - d_2,4",0.9852,0.941866666666667,0.990955555555556,0.878777777777778,0.961688888888889,0.827022222222222,0.828155555555556
"d_2,3 - d_2,5",0.972088888888889,0.982355555555556,0.922933333333333,0.935688888888889,0.983355555555556,0.885266666666667,0.886888888888889
"d_2,3 - d_2,6",0.915555555555556,0.925733333333333,0.9458,0.946288888888889,0.976577777777778,0.930311111111111,0.901422222222222
"d_2,3 - d_2,7",0.948266666666667,0.956088888888889,0.890422222222222,0.974511111111111,0.955777777777778,0.863,0.861577777777778
"d_2,3 - d_2,8",0.896711111111111,0.916444444444444,NA,NA,NA,NA,0.940155555555556
"d_2,4 - d_2,5",0.886555555555556,0.997711111111111,0.997444444444444,0.898333333333333,0.868422222222222,0.834911111111111,0.847577777777778
"d_2,4 - d_2,6",0.977377777777778,0.924711111111111,0.984555555555556,0.763,0.690377777777778,0.784377777777778,0.675888888888889
"d_2,4 - d_2,7",0.989911111111111,0.952444444444444,0.949133333333333,0.901711111111111,0.949266666666667,0.937288888888889,0.941488888888889
"d_2,4 - d_2,8",0.9502,0.913044444444444,NA,NA,NA,NA,0.866733333333333
"d_2,5 - d_2,6",0.9864,0.960444444444444,0.830955555555556,0.867044444444444,0.797955555555556,0.882088888888889,0.787222222222222
"d_2,5 - d_2,7",0.994133333333333,0.9902,0.9434,0.966222222222222,0.913711111111111,0.894511111111111,0.900933333333333
"d_2,5 - d_2,8",0.965422222222222,0.936711111111111,NA,NA,NA,NA,0.912866666666667
"d_2,6 - d_2,7",0.954066666666667,0.921066666666667,0.796355555555556,0.991866666666667,0.766066666666667,0.798022222222222,0.736288888888889
"d_2,6 - d_2,8",0.916111111111111,0.929022222222222,NA,NA,NA,NA,0.972955555555556
"d_2,7 - d_2,8",0.930111111111111,0.911822222222222,NA,NA,NA,NA,0.869644444444444
